Function,Mean_Healthy,Mean_Degraded,Log2FC_Degraded_vs_Healthy,Log2FC_CI_low,Log2FC_CI_high,Cohens_d_Degraded_vs_Healthy,MWU_p,TotalMean,FDR
manganese_respiration,0.008417801860749152,0.01788423436232668,1.0871728092069484,-0.3385763104996373,1.8992895421900298,0.9623806443683228,0.6857142857142857,0.026302036223075833,0.9093167701863355
methanogenesis,0.004346882934856419,0.003475694965380924,-0.3226796863577977,-1.4804667574816022,0.6778098996333233,-0.42477962973407285,0.6857142857142857,0.007822577900237344,0.9093167701863355
methanol_oxidation,0.03746839669444845,0.07399601221587843,0.981773259480996,0.19246472108615628,1.6116226651609433,1.4012837991687932,0.11428571428571428,0.11146440891032688,0.6777777777777778
methanotrophy,0.016287864949976687,0.01878878338906141,0.20607413608944974,-0.5555510020792711,0.7914318527394171,0.3627742804657467,0.8857142857142857,0.0350766483390381,1.0
methanotrophy_facultative_methylotrophy,0.0003877973112719752,0.00046262897158098036,0.2545522132879192,-1.5827191586310834,19.30415585553104,0.1260328655995219,0.5384723809869921,0.0008504262828529555,0.8877517632488249
methylotrophy,0.0020080967829860692,0.0036025743258740438,0.8431990738017312,0.015159561034254851,1.8512161152840876,1.1526234030730138,0.34285714285714286,0.005610671108860113,0.6971428571428572
methylsulfonate_degradation,0.019627863384630302,0.027359263555617512,0.47912624116132485,9.489899916372044e-05,1.0127609557026498,1.144728378582683,0.34285714285714286,0.046987126940247814,0.6971428571428572
nitrate_ammonification,0.029417341392306347,0.05772649307891505,0.9725666911568113,0.10494325365297547,1.6430031164878613,1.2242578884355102,0.11428571428571428,0.0871438344712214,0.6777777777777778
nitrate_denitrification,0.04685065675673398,0.0493123244527835,0.07387898588449787,-0.4658087115662127,0.6391622967793578,0.15634764132926154,0.4857142857142857,0.09616298120951748,0.823015873015873
nitrate_reduction,0.3435004159358903,0.41730543682863996,0.28079187004438255,-0.0171511507939865,0.5730743940557788,1.1300425951390745,0.2,0.7608058527645303,0.6777777777777778
nitrate_respiration,0.07988390226682215,0.11537272247412791,0.5303254487898688,-0.04210535452575494,0.9949319398331204,1.1244275806609316,0.34285714285714286,0.19525662474095007,0.6971428571428572
nitrite_ammonification,0.006387699970171492,0.005464858326453597,-0.22511241763369907,-1.2980915696354305,0.6565158920510251,-0.2787994174577244,0.4857142857142857,0.011852558296625088,0.823015873015873
nitrite_denitrification,0.00414322004520142,0.012011984483182385,1.5356499396906123,-1.1961866759576247,2.450499805925526,0.9290055679784587,1.0,0.016155204528383805,1.0
nitrite_respiration,0.016620844497268795,0.025870362442767032,0.6383065486063163,-0.5918031828641518,1.3515885562251055,0.7091669965472375,0.8857142857142857,0.04249120694003583,1.0
nitrogen_fixation,0.026626271229226832,0.033254639764863064,0.3207052258558813,0.056548942058966586,0.5772396568750681,1.3192550226460407,0.2,0.059880910994089896,0.6777777777777778
nitrous_oxide_denitrification,0.006360837293586423,0.013742216949467376,1.1113260536167433,-0.838683488556496,1.9372824800182824,0.8575520576676646,1.0,0.020103054243053798,1.0
non_methane_hydrocarbon_production,0.016938819810736097,0.024804860476202353,0.5502894549365345,-0.581177998177479,1.3845599407068439,0.6830726768479859,0.6857142857142857,0.04174368028693845,0.9093167701863355
oil_bioremediation,0.023275505109595494,0.029414786380192556,0.33772906949279946,-0.2574327322441034,0.9142761113448942,0.6139296271303121,0.34285714285714286,0.05269029148978805,0.6971428571428572
plant_pathogen,0.06889269846254419,0.11588567400980536,0.7502792271190097,0.216170626563094,1.213993036383693,1.491601491561857,0.11428571428571428,0.18477837247234954,0.6777777777777778
plastic_degradation,0.061660002373064626,0.102288764770881,0.7302408311676635,0.11460376620958929,1.2318174978725325,1.3423670475268041,0.2,0.16394876714394563,0.6777777777777778
potassium_solubilization,0.006506107304585677,0.015873917021594956,1.2867915163779244,-1.2280734445551884,2.1732006373444115,0.8715223711688089,1.0,0.022380024326180633,1.0
psychrophilic,0.00013736263736263736,0.0003567422719179453,1.3768860738725297,-17.06764062168187,19.231812900274736,0.5533207412292172,0.6198391186854187,0.0004941049092805827,0.9093167701863355
reductive_acetogenesis,0.007355382589998673,0.005189744619396591,-0.5031367561441535,-1.6555320839391818,0.10370904282969504,-0.9179325478562127,0.2,0.012545127209395265,0.6777777777777778
sulfate_respiration,0.007154721649929983,0.00605147041114021,-0.24160986716271415,-1.3193558203817148,0.42120689717942233,-0.3918998263726349,0.6857142857142857,0.013206192061070193,0.9093167701863355
sulfite_respiration,0.011475788667187268,0.009100814231196953,-0.3345257414855584,-1.2356248043720532,0.3823354494790683,-0.52671077831709,0.4857142857142857,0.02057660289838422,0.823015873015873
sulfur_respiration,0.00620051739693857,0.00656215452502541,0.08178094889509165,-0.675358328417059,0.7566286150036927,0.13343899229194928,1.0,0.01276267192196398,1.0
thiosulfate_respiration,0.009832961810005134,0.017832721902363045,0.8588289153304863,-0.7982460772762583,1.6900311558738483,0.7485324036614563,1.0,0.02766568371236818,1.0
ureolysis,0.14175105464662446,0.2109605969944176,0.5736140865946061,0.17445420691745375,0.8884879822406148,1.6776376381551052,0.02857142857142857,0.35271165164104207,0.6777777777777778
xylanolysis,0.14676658374806834,0.15701012336597592,0.09733405203211216,-0.3263586707233913,0.5289522224282066,0.2690642431014166,0.6857142857142857,0.30377670711404425,0.9093167701863355
